PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0007317399 uM,Activity at 0.00164 uM,Activity at 0.00366 uM,Activity at 0.00370 uM,Activity at 0.00818 uM,Activity at 0.018 uM,Activity at 0.041 uM,Activity at 0.091 uM,Activity at 0.092 uM,Activity at 0.204 uM,Activity at 0.457 uM,Activity at 1.022 uM,Activity at 2.286 uM,Activity at 5.111 uM,Activity at 11.43 uM,Activity at 25.56 uM,Activity at 57.14 uM,Compound QC
13624,26751094,146030960,C[C@H]1[C@H]2[C@@H]3[C@H](OC=C4[C@@]3([C@@H](O1)C5=C2C(=O)[C@@H]6[C@@H]([C@H]5O)O6)/C(=N/OCC7=CC=CC=C7)/[C@@H]8[C@@H]([C@H]4O)O8)C,Inconclusive,20,,,Inhibitor,6.3096,24.3971,,Single point of activity,-5.2,4.9549,0.8453,-33.1973,-8.8002,-3,1 0 0 0 0 0 0,-31.8311,-16.4288,,-11.0711,,,-15.0208,,-9.8902,,,-4.0002,,-5.7935,,-31.8311,,,QC'd by BUCMLD
13625,11113946,5354033,C1=CC=C(C(=C1)N)S/C(=C(\C#N)/C(=C(/N)\SC2=CC=CC=C2N)/C#N)/N,Active,63,,,Inhibitor,3.1623,66.2468,,Complete curve; partial efficacy,-5.5,1.1,0.9656,-67.4185,-1.1717,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-61.9439,9.7735,1.2962,-0.5681,,-0.7003,-7.0572,-0.6756,-10.6177,,-7.7254,-10.7733,-11.4004,-27.7058,-46.3299,-56.4876,-60.2692,-61.9439,QC'd by Tocris
13626,11111973,6604050,C[C@@H](C(=O)[O-])OC1=CC=C(C=C1)OC2=CN=C3C=CC(=CC3=N2)Cl.[Na+],Inconclusive,20,,,Inhibitor,19.9526,42.0847,,Partial curve; partial efficacy,-4.7,1.6266,0.8829,-46.159,-4.0744,-2.2,0 1 0 0 0 0 0,-40.3719,,,,-4.3647,,16.3605,,,-9.6267,,5.3717,,-9.3042,,-15.3086,,-40.3719,QC'd by SigmaAldrich
13627,17389287,7607,C1=CC(=C(C=C1N=C=O)Cl)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,-21.2216,-9.0902,-15.0255,-2.3191,,0.7257,-10.5617,-3.9146,-4.053,,0.3703,1.751,-2.6939,-0.9186,-1.7509,-7.2003,-19.0267,-21.2216,QC'd by NIEHS/NTP
13628,26748840,16757824,CC(=O)OCC(=O)[C@@]12C(CC3[C@]1(CC([C@@]4(C3CCC5=CC(=O)C=C[C@]54C)F)O)C)OC6(O2)CCCC6,Inactive,0,,,Activator,3.1623,50.2353,,Complete curve; partial efficacy,-5.5,3.0654,0.9812,52.7446,2.5094,1.2,0 0 0 0 0 0 0,49.3558,,,-0.2376,,,2.4679,,-0.3604,,,7.5823,,16.6563,,55.2216,,49.3558,QC'd by Microsource
13629,26747713,2943,COC(=O)C1=C(C(=C(C(=C1Cl)Cl)C(=O)OC)Cl)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,19.217,,,-6.6578,,,-4.7871,,-6.695,,,-10.9149,,-7.5436,,-0.5544,,19.217,QC'd by Microsource
13630,4238496,3233606,C1CN(CCC12CCN(CC2)C(=O)C3=CC(=CC=C3)F)CC4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F,Inactive,0,,,Activator,15.8489,38.0663,,Partial curve; partial efficacy,-4.8,1.8851,0.991,39,0.9337,2.2,0 0 0 0 0 0 0,36.0345,,,-1.3053,,,2.6586,,1.0955,,,0.4764,,2.4345,,13.2896,,36.0345,QC'd by Pharmacopeia
13631,4237501,3232614,COCCN1C2=NC(=NC=C2N=C(C1=O)C3=CC(=CC(=C3)F)F)OC4=CC=C(C=C4)OC,Active,64,,,Inhibitor,3.1623,80.6901,,Complete curve; partial efficacy,-5.5,1.2221,0.9929,-80.0889,0.6012,-1.2,0 0 0 0 0 0 0,-76.2819,,,1.3138,,,2.706,,0.1868,,,-11.1208,,-28.9324,,-69.1847,,-76.2819,QC'd by Pharmacopeia
13632,4239739,3234846,CS(=O)(=O)N1CCC2(CC1)CN(C2)C3=CC=CC=N3,Inactive,0,,,Inactive,,,,,,,,,,4,,-3.1272,,,-3.2846,,,0.7749,,-0.9591,,,1.9723,,-2.9708,,-5.3963,,-3.1272,QC'd by Pharmacopeia
13633,26749982,78094,CC1=C(C(=CC=C1)C(=O)O)OC(=O)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-3.6512,,,-13.182,,,-10.5656,,-9.9174,,,-11.6195,,-14.5194,,-17.1375,,-3.6512,QC'd by Microsource
13634,4252571,223744,CCCCN(C1=CC=CC=C1)C2=NC=NC3=C2C=NN3C,Inactive,0,,,Inactive,,,,,,,,,,4,,-28.0085,5.4342,,-23.4165,,,-4.8242,,-0.3927,,,-1.5785,,0.5106,,-28.0085,,,QC'd by NCI
13635,17385237,3247138,COC1=CC=C(C=C1)C[C@@]2([C@@H]3[C@@H](CC4=C3C=C(N4CC5=CN=C(C=C5)C(F)(F)F)C(=O)N6CCCC6)CN2C(=O)C7=CC=CC=C7)C(=O)OC,Active,86,,,Inhibitor,3.1623,111.796,,Complete curve; high efficacy,-5.5,1.5579,0.9891,-114.652,-2.8554,-1.1,0 0 0 0 0 0 0,-113.627,,,0.3143,,,-13.0017,,0.589,,,-3.2995,,-47.3242,,-100.179,,-113.627,QC'd by UPCMLD
13636,26747711,4096,COP(=O)(N)SC,Inactive,0,,,Inactive,,,,,,,,,,4,,-9.4952,,,-9.8891,,,-12.152,,-10.3299,,,-7.3149,,-9.2133,,-6.1013,,-9.4952,QC'd by Microsource
13637,11113943,2733506,CC(=NCCCC[C@@H](C(=O)O)N)N,Inactive,0,,,Inactive,,,,,,,,,,4,,-19.0293,5.5689,-1.4233,4.5385,,3.5982,-0.0488,9.4048,5.6673,,6.2384,7.6478,10.2413,6.6661,-0.5567,0.1998,-6.7176,-19.0293,QC'd by Tocris
13638,26751093,16758524,CC1=CC2=C([C@@H]([C@@H]3[C@@H](C2=O)O3)O)C(=O)O1,Inactive,0,,,Inactive,,,,,,,,,,4,,-24.9084,-16.1948,,-4.099,,,-7.2896,,-4.4564,,,-6.8369,,-13.0417,,-24.9084,,,QC'd by BUCMLD
13639,26754425,5281515,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-33.3847,-1.3959,-2.6452,-9.7793,,-50.9386,-23.5627,-10.6156,2.929,,3.453,-32.1171,-12.9609,-3.4063,-11.6477,-19.9938,-24.8634,-33.3847,QC'd by Timtec
13640,17389284,7248,CC1=C(C=C(C=C1)N)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-16.7707,-8.1774,-2.11,0.5007,,12.7279,-10.833,-0.4828,0.0133,,0.4686,4.0778,4.9208,2.7965,9.7987,0.3232,-8.4166,-16.7707,QC'd by NIEHS/NTP
13641,11111970,5707,CC1=C(C(=CC=C1)C)NC2=NCCCS2,Inconclusive,20,,,Inhibitor,0.01,34.1019,,Complete curve; partial efficacy; poor fit,-8,4.9549,0.7195,-26.3663,7.7356,-1.4,0 0 0 0 0 0 0,-35.0129,,,,7.3955,,-24.8806,,,-22.4311,,-14.1777,,-37.3166,,-22.4303,,-35.0129,QC'd by SigmaAldrich
13642,4238497,3233607,C1CC2(CCN(CC2)C(=O)C3=CC=NC=C3)CN(C1)C4=CC=CC(=C4)C5=CC=CC=C5,Active,67,,,Inhibitor,0.2512,73.0879,,Complete curve; partial efficacy,-6.6,1.111,0.968,-66.2273,6.8607,-1.2,0 0 0 0 0 0 0,-68.7549,,,-1.757,,,14.0314,,-14.1784,,,-41.641,,-58.5789,,-63.3318,,-68.7549,QC'd by Pharmacopeia
13643,26749981,248507,CN1CCC2=CC(=C(C3=C2C1CC4=CC(=C(C=C43)OC)O)OC)O,Active,40,,,Inhibitor,25.1189,65.274,,Partial curve; partial efficacy,-4.6,1.8617,0.9941,-74.6893,-9.4153,-2.2,0 0 0 0 0 0 0,-62.986,,,-11.0233,,,-6.9243,,-7.4281,,,-10.3034,,-11.0805,,-21.9059,,-62.986,QC'd by Microsource
13644,4238495,3233605,C1=CC=C(C=C1)N2C3=NC=NC=C3N=C(C2=O)C4=CC(=C(C=C4)F)F,Inconclusive,21,,,Inhibitor,19.9526,48.414,,Partial curve; partial efficacy,-4.7,1.7885,0.9944,-61.2047,-12.7907,-2.2,1 0 0 0 0 0 0,-54.5169,,,-26.5018,,,-14.8925,,-11.6775,,,-11.6719,,-13.2048,,-26.5428,,-54.5169,QC'd by Pharmacopeia
13645,4239738,3234845,CN(C)C(=O)C1=CC=C(C=C1)C2=CC(=NC=N2)NCC3=CC=CC=C3OC,Active,41,,,Inhibitor,25.1189,95.3725,,Partial curve; high efficacy,-4.6,2.1211,0.9946,-100.021,-4.6487,-2.1,0 0 0 0 0 0 0,-85.5127,,,-6.1698,,,-6.0988,,-1.4523,,,-2.4204,,-8.2536,,-20.3899,,-85.5127,QC'd by Pharmacopeia
13646,11113944,6604825,C1[C@H]2[C@H]([C@@H]([C@H](O2)N3C4=NC=NC(=C4N=C3Br)N)O)OP(=O)(O1)[O-],Inactive,0,,,Inactive,,,,,,,,,,4,,-18.5997,4.0394,-13.877,-28.5956,,-5.7,-6.2438,6.618,-14.2287,,-15.3825,-7.6598,-4.539,-3.9244,-7.4145,-3.7431,-17.4079,-18.5997,QC'd by Tocris
13647,11111185,673470,CC(C)([C@@H](COC1=CC=CC2=C1N(C(=O)C=C2OC)C)O)O,Inconclusive,20,,,Inhibitor,15.8489,43.1062,,Partial curve; partial efficacy; poor fit,-4.8,0.4,0.7638,-47.8592,-4.753,-2.4,0 0 0 1 0 0 0,-36.5494,,,,-5.8455,,-3.1275,,,-16.5816,,4.9762,,-20.6505,,-16.4086,,-36.5494,QC'd by SigmaAldrich
13648,26754424,16759306,C[C@]12CC[C@@H](C[C@@H]1CCC3C2CC[C@]4([C@H]3CCC4=O)C)O,Inconclusive,20,,,Inhibitor,19.9526,34.7641,,Partial curve; partial efficacy,-4.7,1.4641,0.8352,-40.9107,-6.1465,-2.2,0 0 0 0 1 0 0 0 1 0 0 0 0 0 0,-35.7589,-1.7888,-7.9928,-16.0379,,-10.5224,-23.3744,-6.384,-2.96,,-4.4606,-20.0402,-11.5468,-7.2513,-9.465,-18.4222,-25.1361,-35.7589,QC'd by Timtec
13649,4252572,223753,CN1C2=NC(=NC(=C2C=N1)NC3=CC(=CC=C3)Cl)NC4=CC(=CC=C4)Cl,Inconclusive,22,,,Inhibitor,6.3096,34.7617,,Partial curve; partial efficacy,-5.2,4.9549,0.9553,-55.5063,-20.7445,-2.2,0 0 0 0 0 0,-53.7552,,,-24.4783,,,-16.0371,,-19.0552,,,-22.7112,,-20.5986,,-53.7552,,,QC'd by NCI
13650,4237500,3232613,CC1=NC2=CN=C(N=C2N(C1=O)C3CC3)NC4=CC(=CC=C4)OC,Active,43,,,Inhibitor,6.3096,75.9573,,Partial curve; partial efficacy,-5.2,1,0.9887,-81.2519,-5.2946,-2.2,0 0 0 0 0 0 0,-73.7897,,,-6.3569,,,-9.8987,,-0.8324,,,-9.6321,,-26.2489,,-54.3421,,-73.7897,QC'd by Pharmacopeia
13651,17385238,3247152,CN(C)C(=O)C1=CC2=C(N1CC3=CC(=C(C=C3)OC)OC)C[C@@H]4[C@H]2[C@](N(C4)C(=O)C5=CC=CC=C5)(CC6=CC=CC=C6)C(=O)OC,Active,87,,,Inhibitor,0.7943,84.6187,,Complete curve; high efficacy,-6.1,1.7885,0.9977,-89.4124,-4.7936,-1.1,0 0 0 0 0 0 0,-90.8952,,,-7.0897,,,-4.2765,,-4.4232,,,-28.563,,-79.0083,,-85.688,,-90.8952,QC'd by UPCMLD
13652,26751092,16758523,CC1=CC2=C([C@H]([C@@H]3[C@@H](C2=O)O3)O)C(=O)O1,Inactive,0,,,Inactive,,,,,,,,,,4,,-17.5927,-15.0025,,-20.6862,,,-12.9649,,-9.9175,,,-14.05,,-14.0637,,-17.5927,,,QC'd by BUCMLD
13653,17389285,11883,CC1=CC(=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],Inconclusive,21,,,Inhibitor,15.8489,42.0215,,Partial curve; partial efficacy,-4.8,1.9887,0.8946,-44.073,-2.0516,-2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-43.042,-2.8037,7.4735,-2.65,,2.1002,-3.597,0.7754,-4.0337,,-5.4901,-6.0801,-7.5127,-7.6419,0.1604,-19.6708,-30.3303,-43.042,QC'd by NIEHS/NTP
13654,11111971,5707,CC1=C(C(=CC=C1)C)NC2=NCCCS2,Inactive,0,,,Inactive,,,,,,,,,,4,,-14.5633,-3.4055,-15.965,-21.7018,,-2.2417,-1.692,-13.9538,-13.257,,-19.4967,-12.5872,-15.1566,-19.9987,-16.488,-14.9859,-14.5633,,QC'd by Prestwick
13655,26748838,14710,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-],Inconclusive,22,,,Inhibitor,6.3096,54.2608,,Complete curve; partial efficacy,-5.2,4.9549,0.961,-55.4085,-1.1477,-1.2,0 0 0 0 0 0 0,-54.2135,,,-9.1885,,,-4.4374,,7.2634,,,-2.219,,1.6923,,-53.6323,,-54.2135,QC'd by Microsource
13656,26751108,16758537,C[C@@H]1CC[C@H]2C(=O)O[C@@H](CN2[C@@H]1C3=CC=C(C=C3)Br)COS(=O)(=O)C4=CC=C(C=C4)C,Inconclusive,20,,,Inhibitor,3.9811,46.5054,,Single point of activity,-5.4,4.5045,0.9798,-42.5054,4,-3,0 0 0 0 0 0 0,-42.0202,1.0738,,0.8834,,,7.1682,,6.2917,,,5.8654,,0.4638,,-42.0202,,,QC'd by BUCMLD
13657,26754415,94525,COC1=CC=CC2=C1C(=O)C=C(O2)C3=CC=CC=C3,Inconclusive,20,,,Inhibitor,31.6228,71.2452,,Partial curve; partial efficacy; poor fit,-4.5,1.8851,0.7715,-80.3288,-9.0835,-2.4,0 0 1 0 0 0 0 0 0 0 0 0 0 0 0,-65.0486,-15.6376,-23.49,-28.3041,,-21.8114,-19.949,-16.7372,-2.7009,,-2.3442,-5.1195,-10.1336,-2.9735,-15.1287,-19.1564,-32.5856,-65.0486,QC'd by Timtec
13658,17385227,3247127,CN(C)C(=O)C1=CC2=C(N1CCC3=CC(=C(C=C3)OC)Br)C[C@@H]4[C@H]2[C@](N(C4)C(=O)C5=CC=CC=C5)(CC6=CC=C(C=C6)F)C(=O)OC,Active,87,,,Inhibitor,1.2589,96.357,,Complete curve; high efficacy,-5.9,1.2221,0.9972,-105.073,-8.7162,-1.1,0 0 0 0 0 0 0,-104.56,,,-5.2366,,,-12.7722,,-13.8548,,,-28.861,,-72.816,,-99.6361,,-104.56,QC'd by UPCMLD
13659,4239725,3234832,CN1C=C(C2=CC=CC=C21)C3=NC4=CN=CN=C4N(C3=O)CCC5=CC=CC=C5OC,Active,64,,,Inhibitor,2.5119,73.0006,,Complete curve; partial efficacy,-5.6,1.4641,0.992,-74.3546,-1.354,-1.2,0 0 0 0 0 0 0,-70.148,,,3.3916,,,-3.2414,,-3.2778,,,-7.8553,,-36.3208,,-69.9973,,-70.148,QC'd by Pharmacopeia
13660,4252557,11293,C1=CC(=N)C=CC1=C(C2=CC=C(C=C2)N)C3=CC=C(C=C3)N,Active,45,,,Inhibitor,3.1623,84.0303,,Partial curve; partial efficacy,-5.5,0.9,0.9953,-93.8882,-9.8579,-2.2,0 0 0 0 0 0 0,-74.3491,-7.6573,,-9.404,,,-12.9645,,-14.4645,,,-23.4117,,-44.0668,,-74.3491,,,QC'd by NCI
13661,17389273,16449,C1=CC=C(C=C1)C2=CC(=CC=C2)Br,Inactive,0,,,Inactive,,,,,,,,,,4,,-1.9774,-12.5358,-10.5513,-1.4592,,0.7025,-3.7058,0.6661,-4.5374,,-6.2824,-2.3139,0.4066,-6.3017,13.0175,-2.9437,-3.8912,-1.9774,QC'd by NIEHS/NTP
13662,26749972,16758160,C[C@@]12CCC3C(C1CCC2O)CCC4=CC(=O)CC[C@@]34C,Inactive,0,,,Inactive,,,,,,,,,,4,,20.708,,,-0.0575,,,2.6191,,-0.1266,,,0.548,,4.7967,,22.0985,,20.708,QC'd by Microsource
13663,11113941,6603756,CC(C)(C)NC[C@@H](COC1=CC=CC2=C1NC(=O)N2)O,Inactive,0,,,Inactive,,,,,,,,,,4,,-13.9617,-8.2865,-12.0809,-12.5948,,-12.1336,-15.1493,-10.6017,-16.6009,,-13.8666,-4.0359,-6.0455,-5.3054,-8.3921,-8.4871,-4.7185,-13.9617,QC'd by Tocris
13664,4238490,3233600,CN(C)C1=NC=C2C(=N1)N(C(=O)C(=N2)C3=CC=C(C=C3)OC)C4CC4,Inactive,0,,,Inactive,,,,,,,,,,4,,-26.1955,,,-4.6444,,,-17.2337,,-4.0955,,,-8.933,,-4.1574,,-3.5233,,-26.1955,QC'd by Pharmacopeia
13665,4237503,3232616,COC1=NC=C2C(=N1)N(C(=O)C=N2)CCC#N,Inactive,0,,,Inactive,,,,,,,,,,4,,-14.1241,,,5.2531,,,1.1391,,4.2164,,,2.2114,,-1.1417,,-3.54,,-14.1241,QC'd by Pharmacopeia
13666,26747717,4933,CCC(=O)NC1=CC(=C(C=C1)Cl)Cl,Active,41,,,Inhibitor,15.8489,60.0657,,Partial curve; partial efficacy,-4.8,1.3723,0.9866,-69.2772,-9.2115,-2.2,0 0 0 0 0 0 0,-62.3198,,,-10.166,,,-7.2541,,-7.7371,,,-7.7,,-17.4744,,-32.0106,,-62.3198,QC'd by Microsource
13667,26754414,689013,CC1=CC2=C(C=C1)OC(=CC2=O)C3=CC=CC=C3,Active,62,,,Inhibitor,10,90.25,,Complete curve; partial efficacy,-5,1.21,0.9704,-91.1737,-0.9237,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-78.125,6.1118,-1.7135,-3.5772,,-0.0085,-2.9182,-1.8793,-0.8748,,1.0053,-2.6941,-11.9128,-19.045,-17.7732,-57.2654,-70.5047,-78.125,QC'd by Timtec
13668,26751107,16758536,CCCC[C@@H]1CN2[C@@H](CC[C@H]([C@H]2C3=CC=C(C=C3)Br)C)C(=O)O1,Inconclusive,22,,,Inhibitor,3.9811,32.6814,,Partial curve; partial efficacy,-5.4,4.9549,0.9497,-42.5409,-9.8595,-2.2,0 0 0 0 0 0 0,-42.5341,-15.6943,,-7.8206,,,-7.3829,,-10.6235,,,-8.29,,-11.7934,,-42.5341,,,QC'd by BUCMLD
13669,26748836,16757823,CC(=O)OC1C(C2[C@](C(CCC2(C)C)O)([C@]3([C@@]1(O[C@](CC3=O)(C)C=C)C)O)C)O,Active,40,,,Inhibitor,25.1189,87.9956,,Partial curve; partial efficacy,-4.6,1.6924,0.9965,-89.3651,-1.3695,-2.2,0 0 0 0 0 0 0,-72.0797,,,-3.5201,,,-1.4931,,-1.8938,,,1.6158,,-2.7429,,-19.5281,,-72.0797,QC'd by Microsource
13670,11111183,3344,C1CN(CCC12CNC(=O)O2)CCC3=CC=CC=C3,Inactive,0,,,Inactive,,,,,,,,,,4,,4.5989,,,2.363,,,-0.4178,,-9.9026,,,-2.8459,,0.2297,,-3.8672,,4.5989,QC'd by SigmaAldrich
13671,17385228,3247136,COC1=CC=C(C=C1)C[C@@]2([C@@H]3[C@@H](CC4=C3C=C(N4CC5=CC(=CC6=C5OCOC6)F)C(=O)N7CCCC7)CN2C(=O)C8=CC=CC=C8)C(=O)OC,Active,86,,,Inhibitor,2.5119,103.84,,Complete curve; high efficacy,-5.6,1.5095,0.9999,-106.187,-2.3471,-1.1,0 0 0 0 0 0 0,-104.687,,,-3.1212,,,-2.3822,,-2.9972,,,-9.1802,,-51.1859,,-96.7105,,-104.687,QC'd by UPCMLD
13672,4252558,3246032,CC1=C/C(=C(/C2=CC(=C(C=C2)O)C)\C3=CC=CC=C3C(=O)O)/C=CC1=O,Active,47,,,Inhibitor,1.5849,95.1697,,Partial curve; high efficacy,-5.8,1.111,0.9966,-105.382,-10.2123,-2.1,0 0 0 0 0 0 0,-99.2223,-7.991,,-8.8326,,,-11.228,,-14.6487,,,-31.8896,,-67.335,,-99.2223,,,QC'd by NCI
13673,4239724,3234831,C1C[C@@]2(CCN(C2)C3=CC=NC=C3)CN(C1)C(=O)C4=CC(=CC=C4)F,Active,66,,,Inhibitor,0.3162,73.9354,,Complete curve; partial efficacy,-6.5,0.7,0.998,-64.8645,9.0709,-1.2,0 0 0 0 0 0 0,-63.9356,,,4.6467,,,1.6562,,-12.1418,,,-33.4274,,-48.1538,,-60.1093,,-63.9356,QC'd by Pharmacopeia
13674,26749971,16758159,CC(=O)OC1CC2[C@@](CCC(C2(C)C)O)(C3[C@@]1([C@@]45C(O4)C(=O)OC([C@@]5(CC3)C)C6=COC=C6)C)C,Active,84,,,Inhibitor,2.5119,72.3481,,Complete curve; high efficacy,-5.6,1.21,0.993,-80.0659,-7.7178,-1.1,0 0 0 0 0 0 0,-80.1249,,,-8.4449,,,-8.9605,,-8.6208,,,-12.0368,,-45.4089,,-67.2547,,-80.1249,QC'd by Microsource
13675,17389274,76583,C1=CC(=CC(=C1)Br)C=O,Inactive,0,,,Inactive,,,,,,,,,,4,,-5.9053,-6.8131,2.9347,-5.9891,,-1.3547,-2.2418,-3.4404,-6.0428,,-4.1946,-11.5484,-3.0111,-6.6661,4.2786,-4.7134,-9.4809,-5.9053,QC'd by NIEHS/NTP
13676,4238489,3233599,C1=CC=C(C(=C1)C2=CN=CN=C2NCC3=CN=CC=C3)C(F)(F)F,Active,89,,,Inhibitor,0.631,97.9508,,Complete curve; high efficacy,-6.2,1.21,0.9874,-105.147,-7.1959,-1.1,0 0 0 0 0 0 0,-104.717,,,-2.1503,,,-18.2838,,-12.1265,,,-45.1464,,-91.2911,,-101.073,,-104.717,QC'd by Pharmacopeia
13677,11113942,135412725,C(CCN(CCCN)/[N+](=N/O)/[O-])CNCCCN,Inactive,0,,,Inactive,,,,,,,,,,4,,13.9186,8.886,24.7943,21.8164,,-3.2655,-5.6072,28.6676,11.5013,,20.4106,0.6153,25.9639,-2.0637,28.7446,1.6481,27.5191,13.9186,QC'd by Tocris
13678,11111985,6604052,CSC1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@@H](O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O)N.[Na+].[Na+].[Na+].[Na+],Inactive,0,,,Inactive,,,,,,,,,,4,,-3.7994,,,-15.1853,,,-5.9325,,-0.3029,,,-8.2427,,-9.5563,,-4.8487,,-3.7994,QC'd by SigmaAldrich
13679,4237502,3232615,C1CN(CCC12CN(C2)C(=O)NC3=CC=CC=C3)C(=O)OC4=CC=CC=C4,Inactive,0,,,Activator,15.8489,140.801,,Partial curve; high efficacy,-4.8,1.9673,0.9924,145.657,4.8552,2.1,0 0 0 0 0 0 0,139.207,,,4.9556,,,1.1196,,3.7016,,,0.4863,,16.0933,,52.7798,,139.207,QC'd by Pharmacopeia
13680,11111982,5723,COC1=C(C=CC(=C1)C2=NNC(=O)C=C2)OC(F)F,Inactive,0,,,Inactive,,,,,,,,,,4,,-15.5329,-9.4633,-11.0974,-12.6662,,-4.052,-5.1173,-5.8583,-5.295,,-5.8298,-9.4966,-9.2225,-6.0427,-6.7156,-10.6382,-15.5329,,QC'd by Prestwick
13681,11111182,3339,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,Inactive,0,,,Activator,12.5893,66.1391,,Partial curve; partial efficacy,-4.9,1,0.874,74.3833,8.2442,2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,58.7881,4.1774,7.4608,6.1638,,5.7152,3.6722,5.7415,19.0015,,17.4599,17.1908,9.9147,24.3607,20.9732,39.2504,58.7881,,QC'd by Prestwick
13682,17385225,3247111,CN(C)C(=O)C1=CC2=C(N1CCC3=CC(=C(C=C3)OC)Br)C[C@@H]4[C@H]2[C@](N(C4)C(=O)C5=CC=CC=C5)(CC6=CC=C(C=C6)OC)C(=O)OC,Active,87,,,Inhibitor,1.9953,107.393,,Complete curve; high efficacy,-5.7,1.8265,0.9978,-113.904,-6.5114,-1.1,0 0 0 0 0 0 0,-115.817,,,-8.9446,,,-6.789,,-8.9578,,,-9.8254,,-65.1442,,-108.322,,-115.817,QC'd by UPCMLD
13683,4237506,3232619,CNC1=NC=NC2=C1C=C(C=C2)C3=CC(=CC=C3)OC,Active,42,,,Inhibitor,12.5893,85.0797,,Partial curve; high efficacy,-4.9,1.3723,0.9912,-88.7248,-3.6451,-2.1,0 0 0 0 0 0 0,-80.627,,,-1.1164,,,-7.1031,,-0.0749,,,-6.5999,,-11.9648,,-40.6425,,-80.627,QC'd by Pharmacopeia
13684,26751106,16758535,C[C@@H]1CC[C@H]2C(=O)O[C@@H](CN2[C@@H]1C3=CC=C(C=C3)Br)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-28.1803,-11.0906,,-2.7825,,,-4.026,,2.3927,,,-3.5042,,-7.1131,,-28.1803,,,QC'd by BUCMLD
13685,4252559,3246033,C[C@@]12CCC(=O)C=C1CC[C@H]3[C@@H]2[C@H](C[C@@]4([C@@H]3CC[C@]4(C(=O)CO)O)C)O,Inactive,0,,,Inactive,,,,,,,,,,4,,1.3405,-3.5297,,12.143,,,-1.9039,,-1.7152,,,-1.1112,,-5.6482,,1.3405,,,QC'd by NCI
13686,4239727,3234834,C1=CC=C(C=C1)CCC2=NC3=CN=C(N=C3N(C2=O)CCC#N)OC4=CC(=CC=C4)Cl,Active,87,,,Inhibitor,0.7943,81.0793,,Complete curve; high efficacy,-6.1,1.21,0.997,-82.1019,-1.0226,-1.1,0 0 0 0 0 0 0,-80.9015,,,-3.2177,,,-1.3022,,-3.6358,,,-30.6276,,-62.4712,,-80.5287,,-80.9015,QC'd by Pharmacopeia
13687,26749970,16758158,C[C@@]12CCC3=C(C1=CC(=O)OC2C4=COC=C4)CC5C(=O)[C@]3(C(C(C5=O)(C)C)CC(=O)OC)C,Active,85,,,Inhibitor,2.5119,87.8514,,Complete curve; high efficacy,-5.6,1.4787,0.9994,-90.0607,-2.2093,-1.1,0 0 0 0 0 0 0,-89.5486,,,-3.1423,,,-1.5949,,-4.21,,,-7.5594,,-43.2071,,-80.7803,,-89.5486,QC'd by Microsource
13688,11113939,5281404,CC1=NC=CC2=C1NC3=CC=CC=C23,Active,84,,,Inhibitor,3.9811,88.7162,,Complete curve; high efficacy,-5.4,1,0.9977,-90.2177,-1.5015,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-84.766,-2.3741,-1.7284,0.2489,,-1.61,-5.3427,-2.6465,-5.7431,,-3.826,-9.522,-19.9998,-34.7642,-50.6766,-66.05,-79.0069,-84.766,QC'd by SigmaAldrich
13689,17389271,6894,CC1=C(C=CC=C1Cl)N,Inactive,0,,,Inactive,,,,,,,,,,4,,-19.9728,-19.9263,-18.2548,-2.8392,,-0.3411,-13.6263,-1.7562,-6.6964,,-2.2762,-7.9597,-6.8981,-8.9513,-6.0649,-9.5817,-27.9931,-19.9728,QC'd by NIEHS/NTP
