PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Direction,Activity Qualifier,Qualified AC50,Log of AC50,Hill Coefficient,Curve R2,Data Type,Compound Type,Compound QC,Data Analysis QC,NCGC Comment,Curve Fit Model,Hill S0,Hill Sinf,Hill dS,Log AC50 Std Error,Curve Chi2f,Excluded Points,Number of Points,Activity at 0.732nM,Activity at 1.636nM,Activity at 3.658nM,Activity at 8.18nM,Activity at 18.291nM,Activity at 0.041uM,Activity at 0.091uM,Activity at 0.204uM,Activity at 0.457uM,Activity at 1.022uM,Activity at 2.286uM,Activity at 5.111uM,Activity at 11.429uM,Activity at 25.556uM,Activity at 0.057mM
7512,4252776,230856,C1=CC=C(C(=C1)CNCC2=CC=CC=C2O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,0 0 0 0 0 0 0,,8,,7.3,,13.2,,1.9,,-2.9,,-2.3,,-17.8,,
7513,4252777,3246101,C1=CC=C(C=C1)CSC2=NC=NC3=C2N=CN3[C@H]4[C@H]([C@H]([C@@H](O4)CO)O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-4,,-13.9,,-12.2,,-6.1,,-11.6,,-17.2,,,,
7514,4252778,3246102,C[C@]12CC[C@H](C1)C([C@@H]2OC(=O)C3=CC=CC=C3C(=O)O)(C)C,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,0 0 0 0 0 0 0,,17.5,,18.3,,22.8,,21,,16.1,,10.7,,2.8,,
7515,4252780,3246103,C[C@]12CC[C@@H]3[C@@H]([C@H]1CC[C@@H]2OC(=O)CCC4=CC=CC=C4)CCC5=C3C=CC(=C5)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-10.3,,-14.3,,-13.7,,-11.7,,-18.3,,-13.8,,,,
7516,4252784,410174,C1=CC=C(C=C1)CC[N+]2=CC=CC(=C2)C(=O)NN,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,0 0 1 0 0 0 0,,0.4,,-4.5,,13.6,,3.3,,-7.8,,-9.3,,-20.7,,
7517,4252786,3246105,C[C@@H](CC1=CC=CC=C1)[C@@H](C)N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,0 0 0 0 0 0 0,,-1.8,,-4.7,,-9.2,,-3.5,,1.1,,-10.9,,-20,,
7518,4252787,67316,C1=CC(=CC=C1N=NC2=CC(=C(C=C2)O)C(=O)O)S(=O)(=O)N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-6.3,,-2.5,,-5.9,,-3.3,,-9.9,,-9.8,,-20.9,,
7519,4252789,229337,CC(C)[C@@H](C(=O)O)N1C(=O)C2=CC=CC=C2C1=O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,1 0 0 0 0 0 0,,10.1,,-3.7,,8.8,,-7.1,,-9.1,,-6.6,,-13.1,,
7520,4252790,231503,C1=CC=C(C=C1)CC(=NCC(=O)O)N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-7.6,,-2.5,,-4.6,,-4.1,,-3.9,,-2,,-5.5,,
7521,4252792,5771544,C1=CC=C(C=C1)[C@H](C2=CC=CC3=C2C=CC4=CC=CC=C43)[C@H](C5=CC=CC=C5)C6=CC=CC7=C6C=CC8=CC=CC=C87,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-1.9,,9.8,,2.5,,-0.9,,3.1,,-1.9,,-9.4,,
7522,4252795,231631,C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)C4=CC=CC=C4)(C(=O)O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,0 0 0 0 0 0 0,,0.3,,-1.5,,6.7,,0.6,,2.6,,2.4,,-16.4,,
7523,4252797,231690,C1=CC=C(C(=C1)C2C3=CC=CC=C3OC4=CC=CC=C24)C(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-12.4,,-15.3,,-14.6,,-14,,-22,,-20.4,,,,
7524,4252798,410389,C[N+]1(CCCCCCC1)CCCC[N+]2(CCCCCCC2)C,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-1.8,,-13.8,,-1.8,,-1.2,,-0.6,,-10.4,,,,
7525,4252799,3246109,C1=CC=C(C(=C1)C(=O)O)N=N[C@H](C#N)C(=O)N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,7.3,,3,,5.1,,3.3,,3.9,,0.4,,-8.2,,
7526,4252800,231799,C1CCC(CC1)CN.C1CCC(CC1)CNC(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,0 0 0 0 0 0 0,,8.5,,16.2,,13.6,,13.7,,5.6,,3.5,,-10.2,,
7527,4252801,231852,C1=CC=C(C(=C1)C(=O)C2=CC(=C(C=C2)C(=O)O)C(=O)O)C(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,7.3,,12,,3,,5.3,,5.3,,7.2,,2.8,,
7528,4252802,31277,C(C(=O)O)SCC(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,2.7,,6.5,,-3,,9.3,,2.5,,17,,-2.3,,
7529,4252803,410462,C1=CC(=CC=C1N)S(=O)(=O)NCCS(=O)(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-19.3,,-10.2,,-7.3,,-4.2,,-12.7,,-3.1,,,,
7530,4252804,231992,CC1=C(C=C(C=C1)CCCC(=O)O)C,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-10.5,,-20,,-4.7,,2.4,,-18.4,,3.2,,-24.9,,
7531,4252805,3246110,CC1CCC(CC1)([C@@H](C(=O)O)Br)C(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-9,,-6.3,,-9.9,,2.8,,1.4,,-10.9,,-8.8,,
7532,4252806,5771545,CC1=CC(=C(C(=C1)OC)/C=C\C(=O)O)OC,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,0 0 0 0 0 1 0,,3.7,,-4.7,,18.5,,5.5,,-3.6,,15.8,,-6.9,,
7533,4252808,232155,COC1=CC(=C2C(=C1)C=CC=N2)NCCC(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,0 0 0 0 0 0 0,,16.4,,1.2,,4.6,,-12.2,,-5.7,,-0.9,,-18.1,,
7534,4252810,79626,C1COCCN1CN2C3=CC=CC=C3N=N2,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-3.8,,-15.1,,-3,,-0.3,,1.4,,-3.7,,-8.1,,
7535,4252811,95687,CC1=C(C(=NC=C1COP(=O)(O)O)C)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,0 1 0 0 0 0 0,,8.1,,-19.9,,5,,-0.6,,2.6,,-4.7,,-20.3,,
7536,4252812,179394,C(CP(=O)(O)O)[C@@H](C(=O)O)N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,0 0 0 0 0 0 0,,5.4,,-0.3,,1.8,,-1.4,,-3.1,,4.2,,-20.7,,
7537,4252813,3246112,C1=CC=C(C=C1)C[C@H](N)P(=O)(O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-8.1,,-7.1,,-6.5,,-5.7,,-6,,2.5,,-13.6,,
7538,4252815,90273,CN(C)CCNC1=CC=CC=N1,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,2.4,,-7.4,,6.8,,13.6,,-6.7,,-7.7,,-5.9,,
7539,4252816,8546,C1=CC=C2C(=C1)C=C(C(=C2CC3=C(C(=CC4=CC=CC=C43)C(=O)O)O)O)C(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-0.2,,-5.7,,-2.7,,-3.9,,-0.6,,-4,,,,
7540,4252817,151367,C(C(CN=[N+]=[N-])O)N=[N+]=[N-],Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-7.1,,-10.4,,-12.8,,-9.9,,-15,,-11.9,,,,
7541,4252818,232693,CC1=CC(=C(C=C1Cl)Cl)OCC(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-1.5,,-6.2,,-5.3,,4.3,,7.7,,-5.1,,-11.1,,
7542,4252820,3246113,C[C@]1(CCC[C@@H]1C(=O)O)C(=O)O.C[C@]1(CCC[C@@H]1C(=O)O)C(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,0.9,,-13,,-10.1,,-1.6,,-11.6,,-9.8,,,,
7543,4252824,16684732,C1=CC=C(C(=C1)N)O.[C@@H]1([C@H](O[Sb]O1)C(=O)O)C(=O)O.O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-3.3,,-8.7,,-10,,-9.1,,-4.4,,-23.1,,,,
7544,4252828,3246119,C1CCC(CC1)[C@@H](CC2=CC(=C(C(=C2)I)O)I)C(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-1,,-7.1,,-7.9,,-5,,-4.8,,-8.8,,,,
7545,4252829,3246120,C1=C(NC(=S)NC1=O)CF,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-8.7,,-22.2,,-9.2,,10.2,,-19.5,,-17.6,,-23.3,,
7546,4252832,3246121,C1=CC=C(C=C1)CC[C@@](C2=CC=CC=C2)(C(=O)O)N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,0.7,,-6,,-1.9,,-3.4,,7.6,,-1.8,,-9.6,,
7547,4252833,2249310,CC1=CC=C(C=C1)S(=O)(=O)N[C@@H](C(C)C)C(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-1.5,,-3.9,,1.7,,-0.7,,-4.3,,-5,,-11,,
7548,4252834,3246122,CC(C)(C)C(=O)[C@H]([C@@H](C1=CC=CC=C1)N2CCOCC2)N3CCOCC3,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,3.1,,14.2,,-0.7,,5.5,,-0.9,,6.8,,-6.9,,
7549,4252836,5367262,C1=CC(=CC(=C1)O)/C=N\NC(=O)C2=CC=NC=C2,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,0 0 0 0 0 0 0,,-1.6,,4.2,,-1.8,,7,,3.1,,-9,,-15.7,,
7550,4252837,234303,CCN(CC(=O)O)C(=O)C1=CN=CC=C1,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,9.4,,-1.4,,6.7,,-2.8,,-12.9,,-4.3,,-7.3,,
7551,4252838,3246123,CC1=C(C(=CC=C1)Cl)NC[C@@H](CN2CCN(CC2)C)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,12.6,,14,,8.3,,14,,14.7,,14.6,,1.5,,
7552,4252839,234402,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)NCN3C(=O)C(=O)C(=O)NC3=O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,0 1 0 0 0 0 0,,12.4,,-2.3,,12.8,,-1,,-11,,-5.4,,-12.8,,
7553,4252841,3246124,CC1=CC2=CC=CC=C2C=[N+]1CC(C[N+]3=CC4=CC=CC=C4C=C3C)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-9.9,,-10.2,,-9.4,,-5.9,,3.6,,-0.8,,-17.4,,
7554,4252842,234474,C1=CC=C2C(=C1)N=C(S2)NC3=CC=C(C=C3)[N+](=O)[O-],Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,0 0 0 0 0 0 0,,22.2,,-5,,-6.8,,-7.9,,-0.5,,-3.9,,-20,,
7555,4252843,3246125,C1=CC=C(C=C1)N2C3=C(C(=S)NC(=O)N3)NC2=O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,1.3,,-6.8,,0.4,,-0.1,,-10.2,,-13.2,,-1.8,,
7556,4252844,3246126,C[C@@]1(C(=O)NC(=O)N1)CCOCC2=CC=CC=C2,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-3.9,,1.3,,-2.8,,-7,,-0.3,,1.6,,-13.5,,
7557,4252845,3246127,CN[C@H](CC1=CC=CC=C1)C2=C(C(=CC=C2)OC)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-1.5,,-12,,-1.4,,-0.4,,5.9,,-5.3,,-11.6,,
7558,4252846,67174,CC(CCC(=O)O)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-4.4,,-4.4,,-4.5,,-6.9,,1.4,,4.2,,-5.8,,
7559,4252847,5771547,C1=CC=C2C(=C1)C=CC=C2/C(=C/C3=CC=C(C=C3)O)/C(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,4.1,,-0.1,,-1.7,,-7.7,,0.2,,0.6,,-10.8,,
7560,4252849,5351743,CC(C)C1=CC=C(C=C1)/C=C/2\C=C(OC2=O)C3=CC4=CC=CC=C4C=C3,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-7,,-8.2,,-10.7,,-8,,-12.8,,-24.7,,,,
7561,4252857,5771548,C1=CC(=CC=C1/C=C\C2=CC=C(C=C2)C(=N)N)C(=N)N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-13.3,,-3.2,,-7.8,,-11.1,,-10.8,,-14.4,,-8.3,,
7562,4252858,234890,C1=CC2=C(C=C1[As](=O)(O)O)N=C3C=CC(=CC3=N2)[As](=O)(O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,0 0 0 0 0 0 0,,10.1,,-2.1,,1.6,,0.5,,-4.8,,-5.5,,-15.1,,
7563,4252861,65708,C1=CC=C2C(=C1)NC(=N2)CCC(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-23.9,,-6.2,,-17.8,,-3.2,,0.7,,-14,,,,
7564,4252865,411803,CCC1=CN=C(C=C1)CCC(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,12.8,,2.3,,8.8,,2.2,,-4.4,,5.8,,-1.6,,
7565,4252867,3246129,C1=CC=C2C=[N+](C=CC2=C1)CCCC[N+]3=CC4=CC=CC=C4C=C3,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-11.2,,-7.8,,-1.1,,-6,,-0.4,,-18.7,,,,
7566,4252868,6713589,C[N+]1(CCC2=CC(=C3C=C2[C@H]1CC4=CC=C(C=C4)OC5=C6[C@@H](CC7=CC(=C(C=C7)O)O3)[N+](CCC6=CC(=C5O)OC)(C)C)OC)C,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,0 0 0 0 0 0 0,,11.9,,15.1,,9.7,,17.9,,6.5,,3.4,,-5.5,,
7567,4252869,235298,CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)CO)CCN(C)C,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-1.3,,-2.1,,-0.8,,-4.9,,-1.8,,2.9,,-6,,
7568,4252870,225218,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)CCC(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-0.4,,-14,,-2.6,,-4.6,,2.3,,1.2,,-3.2,,
7569,4252872,235431,C1CN2CCN1CC(=O)NC3=CC=C(C=C3)S(=O)(=O)C4=CC=C(C=C4)NC(=O)CN5CCN(CC5)CC(=O)NC6=CC=C(C=C6)S(=O)(=O)C7=CC=C(C=C7)NC(=O)C2,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,0 1 0 0 0 0 0,,7.8,,-4.1,,8.9,,5.2,,1.5,,1.3,,-13.1,,
7570,4252873,3246131,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@]1([C@@H](C[C@@H]3[C@H]2[C@H](C[C@@H]4[C@]3(CC[C@@H](C4)O)C)O)O)C.C1CNCCN1,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-11.5,,-11.7,,-7.9,,-12.4,,-9.6,,-16.3,,,,
7571,4252875,3246134,C1=C(C(=O)NC(=O)N1)C(=O)CN=[N+]=[N-],Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,7.4,,-11.6,,-11.2,,2.8,,7.7,,0.1,,,,
7572,4252876,3246135,CC[C@@](C(C)C)(C(=O)O)N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-11,,-6.8,,-8.8,,-5.4,,-9.1,,-0.6,,-14.6,,
7573,4252878,80709,C1=CC(=CC2=C(C=C(C=C21)S(=O)(=O)O)N)S(=O)(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-14.4,,-10.2,,-5.2,,-12.8,,-10.5,,-18.1,,,,
7574,4252879,235577,C1=CC=C(C(=C1)CC2=CC=C(C=C2)C(=O)O)C(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-7.4,,-16.3,,-6.7,,-4.7,,1.7,,-2.6,,-22.3,,
7575,4252880,80444,C1=CC(=C(C=C1CC2=CC(=C(C=C2)N)C(=O)O)C(=O)O)N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-10.5,,-8.7,,-13.2,,-16.9,,-12.4,,-19.2,,,,
7576,4252881,235593,C1=CC2=C(C=CC(=C2)S(=O)(=O)NC3=CC=C(C=C3)C(=O)O)C(=C1)N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,0 0 0 1 0 0 0,,12.6,,19.5,,10.1,,25.9,,6.6,,-3.6,,2.5,,
7577,4252882,235633,C1CN(CCN1S(=O)(=O)C2=CC3=CC=CC=C3C=C2)S(=O)(=O)C4=CC5=CC=CC=C5C=C4,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-10,,-6.7,,-1,,-3.8,,-11.8,,-11.9,,,,
7578,4252884,95806,C1=NC2=C(N1)C(=NC=N2)NCCC(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,0 0 0 0 0 1 0,,8.7,,10.2,,-7.8,,-6.5,,-10.1,,0.1,,-6.6,,
7579,4252885,3246136,C[C@]12C[C@H]([C@@]3([C@H]([C@H]1C[C@@H]4[C@@]2(O[C@@](O4)(C)C5=CC=CC=C5)C(=O)CO)CCC6=CC(=O)C=C[C@]63C)F)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-8.9,,-3,,-7.6,,-11.6,,-9.5,,-16.4,,,,
7580,4252886,412194,CC1=CC(=C(C(=C1)CN2CCCCC2)O)CN3CCCCC3,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-0.7,,-4.2,,-9.2,,-7.1,,-8.6,,-18.8,,,,
7581,4252887,236027,CC1=CC(=CC(=C1NC(=O)C)C)OCC(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-3,,-5.1,,-6.6,,-5.8,,1.3,,3.4,,-10.1,,
7582,4252888,236058,CN1C=NC(=C1SCC(=O)O)[N+](=O)[O-],Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-11.9,,-11.5,,-8.8,,-5.2,,7.9,,-8.7,,-9.7,,
7583,4252889,412254,CN1CCN(CC1)C2=NC3=C(N2C)C(=O)N(C(=O)N3C)C,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-9.3,,-6.3,,-13,,-10.6,,-14.9,,-16.8,,,,
7584,4252890,853621,CN(C)C[C@H]1CCC[C@H](C1=O)CN(C)C,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-4.6,,-16.2,,-7.6,,1.4,,-12.8,,-0.5,,-12.3,,
7585,4252891,236265,CN(C)CC1=CC(=CC(=C1O)CN(C)C)C(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-0.3,,-2.5,,-1.4,,0.3,,1.3,,5.4,,-5.2,,
7586,4252893,3246138,CNC1=C(C(=NC=N1)SC2=NC(=NC3=C2NC=N3)N)[N+](=O)[O-],Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,3.1,,7.5,,7.5,,14.2,,6.6,,-9.1,,-3,,
7587,4252897,3246142,C1=CC=C(C=C1)[C@]2(C(=O)NC(=O)N2)CCC(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-0.5,,0.6,,4.2,,3.6,,2.2,,-2.6,,-11.4,,
7588,4252899,412301,CN(C)CCCN1C=NC2=CC(=C(C=C21)Cl)Cl,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-6.4,,-7.4,,-18.9,,-5.3,,-14,,-20,,,,
7589,4252900,412302,CC1=NC2=C(N1CCCN(C)C)C(=CC=C2)[N+](=O)[O-],Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,0 0 0 0 0 1 0,,-10.1,,-0.4,,8.3,,-6.5,,-9.2,,13.9,,-16.9,,
7590,4252901,236579,CN(C)CC1=CC(=C(C(=C1)Cl)O)CN(C)C,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-1.6,,2.3,,-6.1,,-3.2,,-5.4,,0.4,,-10.7,,
7591,4252902,3246143,CN1C[C@@H](C([C@@H](C1)C2=CC=CC=C2)([C@@]3(CN(C[C@H](C3=O)C4=CC=CC=C4)C)C5=CC=CC=C5)O)C6=CC=CC=C6,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-9.1,,-7.2,,-4.8,,-1.7,,-2.2,,4,,-5.4,,
7592,4252903,236591,C1=CSC(=C1)CC(C(=O)O)C(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-11,,7.2,,-8.5,,7.7,,-8,,-2.1,,,,
7593,4252905,236602,CN(C)CC1=CC(=C(C(=C1)O)O)CN(C)C,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,5.7,,-12.4,,-2.7,,-14.8,,-8.1,,-3,,-8.6,,
7594,4252906,2915,C(CSSCCN)N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,0.9,,5.4,,-11,,-5.3,,-9.6,,-3.7,,-13.2,,
7595,4252907,3246145,CCC[C@@H](C(=O)O)SC1=NC(=NC2=C1NC=N2)N,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,8.3,,-3.3,,11.8,,7.5,,0.8,,-0.1,,-9.8,,
7596,4252908,906176,C1=NC2=C(N1)C(=NC=N2)SC[C@@H](CO)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-1.2,,-5,,-2.2,,-2.6,,-1.5,,5.5,,-8.5,,
7597,4252910,83791,C(N)S(=O)(=O)O,Inactive,0,,,inactive,,,,,,qHTS Primary,qHTS ECL - NCI,,Analysis Verified,Inactive,,,,,,,,,-0.2,,2.7,,-10.4,,1.5,,-10.6,,-5.6,,,,
